web_scraper_order,web_scraper_start_url,name,rating,description,minimum
"1766595122-66","https://www.just-eat.ch/lieferservice/essen/zuerich-8001","Kiosk Kalkbreite & Takeaway","3,9","Italienische Pizza, Kebab","Min. 20,00CHF"
"1766595122-67","https://www.just-eat.ch/lieferservice/essen/zuerich-8001","Thali Indian Restaurant","4,8","Indisch, Hühnchen","Min. 60,00CHF"
"1766595122-68","https://www.just-eat.ch/lieferservice/essen/zuerich-8001","THE SMASH","4,2","Amerikanisch, Burger","Min. 20,00CHF"
"1766595122-69","https://www.just-eat.ch/lieferservice/essen/zuerich-8001","Bund 39","4,2","Dumplings, Asiatisch","Min. 20,00CHF"
"1766595122-70","https://www.just-eat.ch/lieferservice/essen/zuerich-8001","Pizza Casa Original","4,8","Italienisch, Italienische Pizza","Min. 25,00CHF"
"1766595122-71","https://www.just-eat.ch/lieferservice/essen/zuerich-8001","HappyPockets© Zürich","3,8","Snacks, Wraps","Min. 30,00CHF"
"1766595122-72","https://www.just-eat.ch/lieferservice/essen/zuerich-8001","Taste of Africa","4,3","Fisch, Afrikanisch","Min. 20,00CHF"
"1766595122-73","https://www.just-eat.ch/lieferservice/essen/zuerich-8001","Ristorante Pizzeria L'Artista Zürich","3,8","Italienische Pizza, Vegan","Min. 30,00CHF"
"1766595122-74","https://www.just-eat.ch/lieferservice/essen/zuerich-8001","SPAR Express","4,9","Lebensmittel, Lebensmittel","Kein Mindestbestellwert"
"1766595122-75","https://www.just-eat.ch/lieferservice/essen/zuerich-8001","BURGER KING ® Zürich Bahnhof","3,7","Amerikanisch, Burger","Min. 18,00CHF"
"1766595122-76","https://www.just-eat.ch/lieferservice/essen/zuerich-8001","Peking Garden Langstrasse","4,5","Chinesisch, Thailändisch","Min. 20,00CHF"
"1766595122-77","https://www.just-eat.ch/lieferservice/essen/zuerich-8001","Indian Restaurant Kormasutra","4,9","Indisch, Vegetarisch","Min. 60,00CHF"
"1766595122-78","https://www.just-eat.ch/lieferservice/essen/zuerich-8001","Suan Long","4,3","Chinesisch, Asiatisch","Min. 20,00CHF"
"1766595122-79","https://www.just-eat.ch/lieferservice/essen/zuerich-8001","Fulin Asia Kitchen","4,7","Chinesisch, Thailändisch","Min. 25,00CHF"
"1766595122-80","https://www.just-eat.ch/lieferservice/essen/zuerich-8001","Burgermeister Limmatplatz","3,8","Amerikanisch, Burger","Min. 20,00CHF"
"1766595122-81","https://www.just-eat.ch/lieferservice/essen/zuerich-8001","Pizzakurier Lochergut","4,7","Italienische Pizza, Döner","Min. 30,00CHF"
"1766595122-82","https://www.just-eat.ch/lieferservice/essen/zuerich-8001","Quick Zürich","4,2","Alkohol, Getränke/Snacks","Min. 40,00CHF"
"1766595122-83","https://www.just-eat.ch/lieferservice/essen/zuerich-8001","Food Paradise","3,4","Alkohol, Getränke/Snacks","Min. 50,00CHF"
"1766595122-84","https://www.just-eat.ch/lieferservice/essen/zuerich-8001","The Lounge at Park Hyatt Zurich","2,6","Burger, Sandwiches","Min. 20,00CHF"
"1766595122-85","https://www.just-eat.ch/lieferservice/essen/zuerich-8001","Cani's Pizza Kurier","4,1","Italienisch, Italienische Pizza","Min. 30,00CHF"
"1766595122-86","https://www.just-eat.ch/lieferservice/essen/zuerich-8001","Pizzeria Bella Napoli","4,7","Italienisch, Italienische Pizza","Min. 35,00CHF"
"1766595122-87","https://www.just-eat.ch/lieferservice/essen/zuerich-8001","House of Momos Enge","3,7","Dumplings, Asiatisch","Min. 45,00CHF"
