name,rating,minimum_clean,primary_cuisine_group,cuisine_groups
Starbucks Limmatstrasse,3.8,0.0,beverages_snacks,beverages_snacks
Mighty Bites,3.7,18.0,beverages_snacks,beverages_snacks
Food Paradise,3.4,50.0,beverages_snacks,beverages_snacks
Vegitat Cigköfte,4.6,20.0,dietary_lifestyle,dietary_lifestyle
ONA POKÉ Bleicherweg,3.8,20.0,dietary_lifestyle,dietary_lifestyle
CORSA,5.0,18.0,european,european
Janni Pizzakurier Zürich,4.9,20.0,european,european
Im Guet - Pizza & Pasta Kurier,4.9,60.0,european,european
Via del gusto 28,4.8,20.0,european,european
Pizza Casa Original,4.8,25.0,european,european
Europa Restaurant & Piano Bar,4.8,20.0,european,european
OH MY GREEK! Zürich Hauptbahnhof,4.7,18.0,european,"dietary_lifestyle, european"
Burek Bakery Zürich,4.7,30.0,european,european
Da Pepino Express,4.7,30.0,european,european
Maadan Bakery,4.7,20.0,european,european
Pizzeria Bella Napoli,4.7,35.0,european,european
Spizzati Pizzeria & Piadineria 2,4.6,40.0,european,european
Restaurant Piratino,4.6,50.0,european,european
Casa Siciliana,4.6,60.0,european,european
Spizzati Pizzeria & Piadineria,4.5,30.0,european,european
Pizza Pizza Kurier,4.4,30.0,european,european
Just Pizza,4.3,35.0,european,european
Spaccio - Löwenstrasse,4.3,18.0,european,european
Pizzeria Molino Stauffacher,4.3,20.0,european,european
Traum Pizza & Kebab,4.3,25.0,european,european
Pizzeria La Fammy,4.2,50.0,european,european
Da Raffaele,4.1,18.0,european,european
Cani's Pizza Kurier,4.1,30.0,european,european
Passioni Italiane - TC Zollikerberg,4.1,30.0,european,european
San Gennaro - Löwenstrasse,4.0,18.0,european,european
Pizzeria Felice,3.9,55.0,european,european
Ristorante Pizzeria L'Artista Zürich,3.8,30.0,european,"dietary_lifestyle, european"
Cucina Niederdorf,3.7,20.0,european,european
Ristorante Frascati,3.7,20.0,european,european
Pizzeria Molino Select Limmatquai,3.6,20.0,european,european
LA CASA DE KIOSK,5.0,40.0,grocery_retail,grocery_retail
nytstore ZH,5.0,42.0,grocery_retail,grocery_retail
Liquor House (Zürich),5.0,60.0,grocery_retail,grocery_retail
Metzgerei Keller,4.9,0.0,grocery_retail,grocery_retail
LOLIPOP,4.4,0.0,grocery_retail,grocery_retail
Bäckerei Hug,4.4,0.0,grocery_retail,grocery_retail
Shell mio Shop,4.3,0.0,grocery_retail,grocery_retail
SPAR Express,3.8,0.0,grocery_retail,grocery_retail
SPAR Supermarkt,3.7,0.0,grocery_retail,grocery_retail
Blume 3000 - Fleurop,3.3,0.0,grocery_retail,grocery_retail
Tacos Plaza,4.2,20.0,latin,latin
Steakhouse Texas Zürich,4.1,20.0,latin,latin
Allegrotto Pizza Kurier,5.0,20.0,middle_eastern,middle_eastern
Pizza Binz Levante Küche,4.9,50.0,middle_eastern,"european, middle_eastern"
Pizzakurier Lochergut,4.7,30.0,middle_eastern,"european, middle_eastern"
Rodi,4.7,30.0,middle_eastern,"european, middle_eastern"
baba's döner (vom Holzkohlegrill),4.5,30.0,middle_eastern,middle_eastern
Flash Bistro Take-Away,4.5,20.0,middle_eastern,"european, middle_eastern"
3 Men's Kebab,4.4,18.0,middle_eastern,middle_eastern
Neni,4.4,20.0,middle_eastern,middle_eastern
Bilo Bistro,4.4,20.0,middle_eastern,"european, middle_eastern"
Toros Imbiss,4.4,25.0,middle_eastern,"european, middle_eastern"
Pizza Bros Zürich,4.3,80.0,middle_eastern,"european, middle_eastern"
Restaurant & Cafe Schmiede,4.3,20.0,middle_eastern,middle_eastern
Amaras Restaurant,4.3,80.0,middle_eastern,"european, middle_eastern"
Hallo Beirut,4.3,25.0,middle_eastern,middle_eastern
Chi Chest,4.3,25.0,middle_eastern,middle_eastern
Polo Take Away,4.3,30.0,middle_eastern,middle_eastern
Cravings Supermarket & Food,4.3,0.0,middle_eastern,"american, middle_eastern"
Restaurant Damas Wipkingen,4.2,20.0,middle_eastern,middle_eastern
Bebo's Beef & Chicken,4.2,20.0,middle_eastern,middle_eastern
Libanès Restaurant,4.2,35.0,middle_eastern,middle_eastern
Restaurant 1001,4.1,18.0,middle_eastern,middle_eastern
Restaurant Damas Josefstrasse,4.1,20.0,middle_eastern,middle_eastern
mit&ohne kebab - HB,4.0,15.0,middle_eastern,middle_eastern
Sesam Falafel,3.9,18.0,middle_eastern,middle_eastern
Zekisworld (Limmatplatz),3.9,20.0,middle_eastern,middle_eastern
Kiosk Kalkbreite & Takeaway,3.9,20.0,middle_eastern,"european, middle_eastern"
Legend Döner,3.9,30.0,middle_eastern,middle_eastern
Zekisworld (Oerlikon),3.9,30.0,middle_eastern,middle_eastern
Original Kebab Haus,3.8,25.0,middle_eastern,middle_eastern
Muset Restaurant (Halalfood),3.7,30.0,middle_eastern,"dietary_lifestyle, european, middle_eastern"
Les delice d'Orient,3.6,20.0,middle_eastern,middle_eastern
Food Corner Niederdorf,3.0,18.0,middle_eastern,"american, middle_eastern"
HappyPockets© Zürich,3.8,30.0,unknown_other,
